name,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,X,Y
Boar,126,Y,Manhattan,Sutton Parks,M108P,6,5,East 57th St & East River (east of Sutton Place),Y,Spring 1972,ca. 1972,Boar (life size) on pedestal with a basin,"Pedestal H: 2' W: 5'6""  L: 6'10""",Salute to the Seasons,Boar--bronze; Pedestal--granite,,Pedestal: A. Ottavino Corp.,,"Ann Butter, Levine & Blumberg",Hugh Trumbull Adams,,,,,Y,,,"$6,500","Animal: other, Sculpture",995305.5999240577,215116.63543322682
General Franz Sigel,1447,Y,Manhattan,Riverside Park,M071,7,6,Riverside Drive and West 106th  Street,Y,"October , 1907",1907,Equestrian figure (over life-size) with integral plinth on a pedestal that rests on a base that allows the monument to sit at the top of a staircase,"Figure H: 11'9""; Pedestal H: 6'3"" L: 10' W: 5'8""; base H: 2'3"" L: 10' W: 5'8""",Riverside Park Fund,"Bronze, Plymouth granite",,,Karl Bitter,William Welles Bosworth,Sigel Monument Association,,,,,Y,,,"$20,000","War Memorial, Sculpture, Soldier, Civil War, Animal: equestrian",992531.5306690484,231575.79870906472
General Henry Warner Slocum,1454,Y,Brooklyn,Prospect Park,B073,0,39,"East Plaza Street, east of Soldiers and Sailors Memorial Arch",Y,"May 30, 1905",ca. 1905,"Equestrian figure on pedestal embellished with relief eagle on front, four medallions (two on each side)","Statue H: 17' W: 4'8¾"" D: 12'7¾""; Pedestal H: 11'10¾"" W: 10'5¾"" D: 18'4""",MAS,"Figure, eagle, and medallions--bronze; pedestal--pink Milford granite with steps of Milford granite alternating with Green's Landing granite",E. Gruet,,Frederick William MacMonnies,Stanford White,Brooklyn City Legislature,,,,,Y,,,29000.00,"Civil War, War Memorial",992813.8417842239,184627.99923214316
Soldiers and Sailors Monument,1464,Y,Queens,Major John W. Mark Park,Q025,12,27,173rd Street and Hillside,Y,1896,1896,"Standing angel figure (over life-size) holding a laurel wreath in her left hand and a palm bough in her right,, on integral plinth on pedestal","Figure H: 10'9""; Pedestal H: 10' W: 3'6"" D: 3'6""",MAS,Bronze; Westerly granite,,,Frederick Wellington Ruckstull,,,,,,,Y,,,,"Civil War, War Memorial, Allegorical",1042872.5133202225,198629.99845905602
Giuseppe Verdi,1624,Y,Manhattan,Verdi Square,M097,7,6,Broadway at 73rd Street,Y,"October 11, 1906",,"Statues on ped., surrounding statues","H: 25'9"" Diameter: 18'",CPF Endowment,"Carrara, Monte Chiaro limestone",,,Pasquale Civiletti,,Resident Italians,,,,,Y,,,20000.00,Composer/Musician,989376.7200495601,223166.25712922215
Kryeti-Aekyad #2,1767,Y,Manhattan,John Jay Park,M045,8,5,East 76-78th Streets and Cherokee Place,Y,October 1979,ca. 1979,Precariously balanced pieces of steel,"H: 7'7"" W: 10'11"" D: 1'10"" (all approximate)",& Agency (est. by John Jay Park Association),Welded hot-rolled steel (painted black),,,Douglas Abdell,Thomas Balsley Associates,Rosenstiel Foundation,,,,,Y,,,"$65,000",Sculpture,998077.6773851365,219550.45005638897
Abraham Lincoln,913,Y,Manhattan,Union Square Park,M089,5,2,North end,Y,"September 16, 1870",1870,Standing figure (over life-size) with integral plinth on pedestal,Figure H: 8'; Pedestal H: 11½'  W: 9½' D: 9½',T&A,"Bronze, Dix Island, ME granite",,,Henry Kirke Brown,,"Public subscription, sponsored by the Union League Club",,,,,Y,,,,US President,986988.8777123839,207499.27140289545
Abraham Lincoln,911,Y,Brooklyn,Prospect Park,B073,0,39,Flower Garden,Y,"October 21, 1869",ca. 1869,"Standing figure (over life-size) on integral plinth on pedestal with wreaths and insignia of US Army and Navy at front and rear, and two eagles, one proper left and one proper right","Figure H: 8'6"" W: 3' 4"" D: 3'4""; Pedestal H: 10'4"" W: 7'6"" D: 7'6""; Eagles H: 30""; Wreath Diameter: 30""",MAS,"Figure, wreaths and eagles---bronze;  Pedestal--two types of granite",Lamoureux,,Henry Kirke Brown,,Citizens of the City of Brooklyn,,,,,Y,,,,"US President, Animal: other",993973.3407775611,179145.21754680574
Free Form,553,Y,Queens,Flushing Meadows / Corona Park,Q099,15,21,"Mall, northwest of Armillary Sphere",Y,1964,1964,Form on base,"Form  H: 12'; Base H: 8'10""",MAS,"Stainless steel, Atlantic black granite (polished)",,,Jose De Rivera,,,,,,,Y,,,,Abstract,1026696.1444263011,211565.06215581298
Independence Flagstaff,766,Y,Manhattan,Union Square Park,M089,5,2,Center of park,Y,"July 4, 1930",1926,Flagstaff on drum pedestal with two bas-reliefs and two plaques,Flagstaff H: 40';  Pedestal H: 9'6'  Diameter 36',T&A,"Flagstaff--steel, copper sheathing; Pedestal--granite; Bas-reliefs and plaques--bronze,",,,Anthony de Francisci,"Perry Coke Smith, Charles B. Meyer",Tammany Society,,,Union Square Flagstaff; Charles F. Murphy Memorial Flagstaff,,Y,,,80000.00,"Revolutionary War, Sculpture, War Memorial",986937.6901507229,207392.95206172764
George M. Cohan,282,Y,Manhattan,Father Duffy Square,M093,5,3,,Y,"September 11, 1959",1959,"Standing figure (over life size), integral plinth, on pedestal","Figure H: 8'7""; Pedestal (upper part) H: 6' 11 1/2"" W: 3' 6 3/4"" D: 6' 3/4""; Pedestal base H:5 1/2"" W: 7'3"" D: 7'3""",TSBID,Figure--bronze; Pedestal--light Barre granite on dark Barre granite base,,,Georg John Lober,Otto Langman,George M. Cohan Memorial Fund,,,,,Y,,,,"Sculpture, Composer/Musician",988378.7036728859,215740.61876530945
Mohandas Gandhi,569,Y,Manhattan,Union Square Park,M089,5,2,"West side of park, near 14th Street",Y,"October 2, 1986",1986,Standing figure (over life-size) with integral plinth on pedestal with plaque,"Figure H: 6'6"" W: 1' 9""  D: 2' 9""; Pedestal H: 3' 9"" W: 2'1"" D: 2'6""",T&A,Figure and plaque---bronze; pedestal---cast concrete,,,Kantilal B. Patel,,Gandhi Memorial International Foundation and Mohan B. Murjani,Y,"$100,000; fund established by Mohan B. Murjani for maintenanace of all the statues in Union Square Park",,,Y,,,"$60,000","Philosophy, Politcal Figure",986655.1037736386,207255.61670647562
Soldiers and Sailors Memorial Arch,1463,Y,Brooklyn,Grand Army Plaza,B040,19,33,,Y,"October 21, 1892",1892,"Triumphal arch; bas-relief figures in spandrels on south face; seal of city of Brooklyn and seal of New York state in spanrels on north face; sixteen medallions, four on each of the pier stages at south and north faces",Total h 80' x w 80' x d 50'; archway h 50' x w 35',Richard J. Schwartz,Granite,,,Philip Martiny (spandrel figures),John Hemingway Duncan,City of Brooklyn: tax levy and bond issues,,,,,Y,,,"450,000.00 plus interest on bonds","Civil War, War Memorial, US President",992608.2276941389,184457.60291939974
Isidor and Ida Straus,1510,Y,Manhattan,Straus Park,M085,7,8,Broadway at 106th Street,Y,1915,,Exedra and fountain pool with figure,H:6' W: 23' D: 47',CPF Endowment,"Bronze, Deer Isle granite",Jno. Williams Inc.,,Augustus Lukeman,Evarts Tracy,Public subscription,,,,,Y,,,20000.00,Business Leader,993051.9056125581,231379.41491547227
Eleanor Roosevelt Memorial,1788,Y,Manhattan,Riverside Park,M071,7,6,72nd Street and Riverside Drive (Eleanor Roosevelt Memorial Plaza),Y,"October 5, 1996",1996,"Figure (heroic scale) half-seated against a boulder, circular foot stone, earth pedestal encircled by a low wall, concentric pavement, two inscribed pavers, two plaques","Figure H: 7'11"" W:2'8½"" D: 1'3""; boulder H: 4'1"" W: 3'9"" D: 2'9""; earth pedestal diameter 37'6""; pavers diameter 4' (approximate); biography plaque H: 1' W: 1'5½""; donor plaque H: 1'10"" W: 3'; figure weight: 721 pounds",CPF Endowment,"Figure, lettering on pavers, plaques--bronze; boulder, foot stone--Belfast black granite; low wall and pavers--granite; concentric pavement--bluestone",Paul King Foundry (figure),Giuliano Cecchirelli (boulder),Penelope Jencks (figure); Michael Middleton Dwyer (boulder and foot stone),Bruce Kelly/David Varnell,Eleanor Roosevelt Monument Fund,Y,"$75,000 maintenance endowment established with City Parks Foundation",,,Y,,,,"Portrait, Public Servant, Sculpture, Women",988186.0488744676,223683.7511729747
Marquis de Lafayette,884,Y,Manhattan,Union Square Park,M089,5,2,Park Avenue South at 16th Street,Y,"September 6, 1876",,Portrait statue on pedestal,H: 15' W: 6' D:6',T&A/ MAS,"Bronze, polished Quincy granite",,,Frederic Auguste Bartholdi,,French residents in New York,,,,,Y,,,,"Revolutionary War, War Memorial",987025.1985058933,207305.9210678041
Midland Beach War Memorial,1925,Y,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,R046,2,50,,Y,"November 7, 1992",ca. 1992,Tripartite upright slab with incribed eagle atop pedestal,"Centerpiece H: 7'6"" W: 4' D: 1'; each wing H: 2'5"" x w 3' x d 10""; pedestal L: 12'6"" W: 1'6"" D: 3'; sculpture weight: 8,200 pounds; base weight: 3,300 pounds",Midland Beach Community Center,Barre granite,,"Anderson-Friberg Company, P.O. Box 626, Barre, VT 05641",,,,,,,,Y,,,,"War Memorial, World War II, Korean War, Vietnam War, World War I",959214.741003558,147200.65217097104
Joan of Arc Memorial,819,Y,Manhattan,Riverside Park,M071,7,6,Riverside Drive at 93rd Street,Y,"December 6, 1915",1915,Equestrian figure (over life-size) on integral plinth on pedestal,"Total H: 20'4"" W:  6'1"" D: 12'3""",MAS,"Bronze, Mohegan granite",,,Anna Vaughn Hyatt Huntington,John V. Van Pelt,Joan of Arc Statue Committee,,,,,Y,,,,"Animal: equestrian, Women, Religious Leader",990743.8052418828,228603.4703361392
Henry Ward Beecher Monument,102,Y,Brooklyn,Columbus Park,B113C,2,33,Cadman Plaza near Johnson Street,Y,"June 24, 1891","May 10, 1890","Standing figure (heroic scale) with integral plinth on pedestal with two steps, a standing female figure beside pedestal proper right and two child figures beside pedestal proper left","Beecher figure H: 7'6""; Pedestal H: 7' W: 10' D: 8'5""",MAS,Figures--bronze; Pedestal--Barre granite (polished),Bonnard Bronze Co,,John Quincy Adams Ward,Richard Morris Hunt,Public subscription,Y,"$19,250; Broadway Church of Christ (Manhattan), Plymouth Church of the Pilgrims (Brooklyn), two of Beecher's descendents",,,Y,,,,"Religious Leader, Civic Leader, Juvenile",986992.2120233029,192436.63912664354
Discus Thrower,387,Y,Manhattan,Randalls Island Park,M104,11,8,Triangular median off ramp of Triborough Bridge,Y,1926,ca. 1926,"Standing figure (heroic scale) with integral plinth, on pedestal, front decorated with applied wreath and urn, plaque at rear","Sculpture: H: 7'2"" W: 2'10"" D: 3'9""; Base: H: 4'2"" W: 3'4"" D: 4'5"" Overall: H: 11'4"" W: 3'4"" D: 4'5""; Plaque H: 6""  W: 11""",RISF,"Figure, pedestal decorations, plaque--bronze; Pedestal-- Stony Creek granite (polished)",Modern Art Foundry (restoration),,Kostas Dimitriadis,Mckim Mead and White,Mr. and Mrs. Ery Kehaya; Bloomberg News (restoration),,,,,Y,,,,"Athlete, Allegorical",1006609.7459508926,229452.94895213842
General William Jenkins Worth Monument,1734,Y,Manhattan,General Worth Square,M101,5,3,Broadway and 24th Street,Y,"November 25, 1857",ca. 1857,"Obelisk decorated with applied trophy, die decorated with high relief panel, graduated base; tomb, two plaques, ornamented fence (three sides only), four gas lamp posts","Obelisk H: 51'; base L: 15' W: 15'; each side of fence 35'2""",MAS,"Obelisk (and tomb?)--Quincy (Massachusetts) granite; trophy, high relief, plaques--bronze; fence--cast iron",,,,James Goodwin Batterson,Corporation of the City of New York,Y,"perpetual maintenance endowment funded by James A. Woodruff, Jr.",,,Y,,,"$24,155","Soldier, Animal: equestrian",987306.6523393095,209878.66756272316
Josephine Shaw Lowell,944,Y,Manhattan,Bryant Park,M008,5,3,Sixth Avenue between 40th and 41st Streets,Y,"May 21, 1912",,Ornamental fountain with tablet set into ground,Lower basin Diameter: 32'; Upper basin Diameter: 13,BPRC,"Stony Creek granite, bronze",,,,Charles A. Platt,Gift,,,,,Y,,,"$15,000","Women, Politcal Figure",988650.9291782975,213976.3509683907
James Gordon Bennett Memorial,1042,Y,Manhattan,Herald Square,M036,5,3,6th Avenue and 34th Street,Y,1895; 1928; restored 1940,,"Niche, pilasters, 3 figural statues, bell","Bell H: 74"" D: 45""; Minerva H: 11'; Left Figure H: 7'4""; Right Figure H: 6'11""; Plinth H: 5"" L:10'4""",MAS/34th Street Partnership,"Bronze, Milford pink granite","s101 - decauville, paris, 1894",Restored by E. Gargani & Sons,"Antonin Jean Carles, Paris",,6th Avenue Association,,,"Minerva, The Bellringers & Owls",,Y,,,,"Allegorical, Sculpture",987688.7086618096,212664.59309323132
William Earl Dodge,389,Y,Manhattan,Bryant Park,M008,5,3,,Y,"October 22, 1885",1885,Standing figure (over life-size) on pedestal,"Fgure H: 7'6"" W: 2'10"" D: 2'4""; Pedestal H: 6'6"" W: 3'8"" D: 3'8""",BPRC,"Bronze, granite","Henry-Bonnard Bronze Company, New York",,John Quincy Adams Ward,,Chamber of Commerce of the State of New York,,,,,Y,,,,"Writer, Civic Leader",988881.9087032229,214019.22555455565
New York Korean War Veterans Memorial,1930,Y,Manhattan,Battery Park,M005,1,1,North of Castle Clinton,Y,"June 25, 1991",1991,"Obelisk with cutout in shape of soldier on base with mosaic flags, two plaques on two markers situated in circular plaza (axis aligned with Statue of Liberty)","Obelisk H: 15' W: 10'6"" D: 4'5""; base H: 5' W"": 10'6"" x d 6'; each marker front h 2'6"" x rear h 3' x w 3' x d 2'; plaza diameter 50'",MAS/CPF,Obelisk and base--Pennsylvania black granite (polished); outline of cutout--stainless steel; mosaic tiles; plaques--stainless steel; markers and plaza paving--Barre gray granite,,,Mac Adams,,New York Korean Veterans Memorial Commission,Y,"$550,000 maintenance endowment with Municipal Art Society; $10,000 landscape fund with City Parks Foundation",Universal Soldier,,Y,,,450000.00,"Korean War, War Memorial",979522.5845741332,195784.73479264975
Bronx Victory Memorial,164,Y,the Bronx,Mosholu Parkway,X033,7,11,Mosholu Parkway & Marion Avenue,Y,"November 11, 1925",1925,"Group of two figures (life size) with eagle with integral plinth, on pedestal","Group H: 7'; Pedestal H: 6'6""",MAS,"Bronze, Rockport and Deer Isle granite",,,Jerome Connor,A.S. Waldreaon,Bronx Victory Memorial Association,,,,,Y,,,,"World War I, War Memorial",1017140.4283015579,256663.48573830724
William Henry Seward,1429,Y,Manhattan,Madison Square Park,M052,5,3,Fifth Avenue at 23rd St.,Y,"September 27, 1876",,Portrait statue on pedestal,"H: 17'9"" W: 7'2"" D: 10'1""",CPF Madison Sq. Pk.,"Bronze, red Levante marble","Ferd V. Miller & Sohne, Munchen",,Randolph Rogers,,,,,,,Y,,,,Politcal Figure,987341.8592898846,209421.96900105476
Johann Wolfgang von Goethe,592,Y,Manhattan,Bryant Park,M008,5,3,Sixth Ave at 40th Street,Y,"February 15, 1932",circa 1932,Bust on pedestal,"Overall H: 9'5 ½"" W: 1'5 ½"" D: 1'1""",BPRC,"Bronze, Swedish black granite",,Victor Frisch (pedestal),Karl Fischer,,Goethe Society of  America,,,,,Y,,,,Writer,988756.3820513934,213754.11420814693
Admiral David Glasgow Farragut,466,Y,Manhattan,Madison Square Park,M052,5,3,25th Street between Fifth and Madison Avenues,Y,"May 25, 1881",1880,"Standing figure (over life-size) with integral plinth, on pedestal with extended exedra wings; pedestal has bas-relief of sword in ocean waves; each wing  has a life-size bas-relief of seated female figure","Figure H: 9'; Pedestal with exedra wings H: 9' W: 17'6"" D: 9'6""",MAS/ CPF/ Madison Sq. Pk.,Bronze; Coopersberg (Pennyslvania) black granite,Adolphe Gruet,,Augustus Saint-Gaudens,Stanford White,New York Farragut Association,,,,,Y,,,,"Civil War, War Memorial, Allegorical",987668.3094243854,209883.10915489495
Antonin Dvorak,1784,Y,Manhattan,Stuyvesant Park,M086,6,2,Northeast corner,Y,"September 13, 1997",ca. 1960,"Standing three-quarter figure on base, plaque on ground","Figure H: 3'11¼"" W: 2'10"" D: 1'10""; Base H: 3'8½"" W: 2'5"" D: 1'11¼""; Total H: 7'8¾""; total weight: 2,700 pounds",CPF Endowment,Figure and plaque: bronze; base: Brazilian green granite (verde lavros),,,Ivan Mestrovic,Jan Hird Pokorny,The New York Philharmonic and the Dvorak American Heritage Association,Y,"$38,000 contributed by Stuyvesant Park Neighborhood Association Inc. to maintenance endowment with City Parks Foundation; SPNA to add $2,000 annually for six years beginning in 1998",,,Y,,,,"Composer/Musician, Portrait, Sculpture",988998.1955441386,206630.43816681206
Father Francis P. Duffy,416,Y,Manhattan,Father Duffy Square,M093,5,3,Broadway & 46th Street,Y,"May 7, 1937",1937,"Standing figure (over life size) before a Celtic cross, on a pedestal, on a base, on a platform with seat at  rear, approached by three steps","Figure H: 7'6""; Pedestal H: 3'7"" W: 4'10 1/4"" D: 4'10 1/4""; Base H: 2'1""  W: 5'3 3/8"" D: 5'3 3/8""",TSBID?,"Figure--bronze; Cross, pedestal, base, platform, and steps--Archean green granite (source, Angora, Minnesota)",,,Charles Keck,,Father Duffy Memorial Committee (figure); Works Progress Administration,,,,,Y,,,,"Religious Leader, World War I, Spanish-American War, War Memorial",988416.0969708115,215835.5401633978
William Tecumseh Sherman,1442,Y,Manhattan,Grand Army Plaza,M062,5,4,,Y,"May 30, 1903",1902,"Group (heroic scale) consisting of equestrian figure and female figure on pedestal decorated with six applied wreaths (three on each side), plaque set in pavement","Horse figure H: 14'6""; equestrian figure total H: 15'6"";  Genius of Victory figure H: 10'6""; pedestal L: 42'6"" W: 30'8""; total H: 24'4""; plaque L: 2'1"" W: 10""",CPC,Group and wreaths--bronze (gilded); pedestal--Stony Creek granite (polished); plaque--bronze; pavement: bluestone,"Group and wreaths--Thiebaut Freres, Paris","Plaque--International Bronze, Garden City, Long Island",Augustus Saint-Gaudens; Alexander Phimister Proctor,Charles Follen McKim,"Citizens of New York, under auspices of the Chamber of Commerce of the State of New York; David Schwartz Foundation",,,,,Y,,12/05/1989,"$75,000; plaque $288;","Civil War, War Memorial, Allegorical, Soldier, Animal: equestrian",991709.4666963816,217914.12163613737
Pulitzer Fountain,1291,Y,Manhattan,Grand Army Plaza,M062,5,4,Fifth  Avenue at 59th Street,Y,May 1916,1916,"Fountain with sculptures: five basins in a stepped pattern support at their highest point a sixth, shell-form basin holding a standing female figure (over life-size); two rams-head horns of plenty  flank the third basin","Fountain H: 22' W: 72' D: 84'; Figure H: 7'9""",CPC,Lower basins and horns--Hauteville marble; Sixth basin and figure--bronze,,,Karl Bitter and Karl Gruppe (figure); Orazio Piccirilli (horns),Thomas Hastings,Estate of  Joseph Pulitzer,,,Pomona,,Y,,,,Allegorical,991558.2560408115,217634.9978505671
General José Artigas,1914,Y,Manhattan,Soho Square,MZ002,2,3,6th Avenue and Spring Street,Y,"September 24, 1997",February 1987,"Standing figure (heroic scale), integral plinth, pedestal, plaque in rear","Figure H: 11' W: 3'4"" D: 2'10""; pedestal H: 4'6"" W: 6'10"" D: 6'4""; sculpture weight: 2,640 pounds",CPF endowment account,"Bronze, Uruguayan black and pink granite","Vignali and Company, 3226 Joaquín Suárez, Montevideo, Uruguay",,José Luis Zorrilla de San Martín,María Cristina Caquías,Carlos Páez Vilaro and Banco de La República del Uruguay,Y,"$10,000 contributed by Banco de la República Oriental del Uruguay, New York Branch to maintenance endowment with City Parks Foundation",,,Y,,,"$65,000","Politcal Figure, Civic Leader",982952.3437907249,203292.18893781304
Major Clarence T. Barrett Memorial,78,Y,Staten Island,Clarence T. Barrett Memorial,R004,1,49,Stuyvesant Place near Borough Hall,Y,"November 11, 1915",1915,"Standing figure with shield and spear (heroic scale) on integral plinth on broad, bilevel pedestal with bas-relief of two martial scenes separated by classical mask on lower level; large oval basin in front, and small drinking fountain in rear","Figure H: 8'½"" W: 4' D: 2'; Integral plinth Diameter: 3'3""; Pedestal H: 5' W: 12'9"" D: 6'; Total H: 13'2"" (excluding basin)",MAS,Figure--bronze; Pedestal and basin--pink Tennessee marble,"Roman Bronze Works, New York",,Sherry Edmundson Fry,,"Julia Olivia Hardin, trustee for Anna E. Hutchins Barrett",,,Barrett Memorial Fountain,,Y,,,,"Civil War, Civic Leader, Allegorical",963206.7162873,173113.29457131028
Vietnam Memorial,1633,Y,Manhattan,Vietnam Veterans Plaza,M046,1,1,South of 55 Water Street,Y,"May 6, 1985",,"Glass wall, etched text, tablet",H: 16' W: 66',55 Water Street Corp.,"Glass, granite, interior lights, bronze",,,Peter Wormser & William Fellows,,Vietnam Veterans Memorial Commission,,,,,Y,,,,"Vietnam War, War Memorial",981533.4542400539,195277.87557014823
Alexander Lyman Holley,735,Y,Manhattan,Washington Square Park,M098,2,1,5th Avenue at Washington Place,Y,1889,1889,"Bust on a high central stele joined by screens to shorter side steles at right and left, the whole on a plinth resting on a semi-circular step","Bust H: 3'6""; Central stele H: 9'; Total W: 10'3"" D: 3'10""",MAS,"Bronze, Indiana limestone",,,John Quincy Adams Ward,Thomas Hastings,"Engineering societies: ASME, AIME, and ASCE",,,,,Y,,,,Scientist/Inventor,984781.0950544775,205648.0920343995
Zion Park War Memorial,182,Y,Brooklyn,Zion Park,B116,16,41,"Pitkin and East New York Avenues, Legion Street",Y,"November 1, 1925",ca. 1925,"Wall, higher central section has bas-relief of winged female warrior; two side sections incised with names; on a raised platform, steps; bannisters have medallions, eagle, proper left, star of David, proper right; plaque","H: 13' W: 20'8"" D: 3'10""",MAS,Bas-relief--Indiana limestone; Plaque--bronze,,,Charles Cary Rumsey,Henry Beaumont Herts,Citizens Memorial Committee and others,,,Brownsville Memorial,,Y,,,20000.00,"Sculpture, World War I, War Memorial",1006858.6526053101,182931.0177179724
Lafayette Memorial,883,Y,Brooklyn,Prospect Park,B073,0,39,9th Street entrance,Y,"May 10, 1917",ca. 1917,Bas-relief on stele; terrace,"Bas-relief H: 10' W: 13' ; Stele H: 19' W: 22' D: 8'10""; Terrace W: 72' D: 35'",MAS,Bronze; Milford pink granite (polished),Gorham  Co.,,Daniel Chester French,Henry Bacon,Henry Harteau,Y,"$10,000 endowment by the French Societies in New York",,,Y,,,,"Revolutionary War, War Memorial",990745.0207906365,181364.00674439967
The Horse Tamers,744,Y,Brooklyn,Prospect Park,B073,0,39,Coney Island Avenue at Park Circle Entrance,Y,1899,1898,"Two groups, each consisting of two horse figures and one mounted male figure, on two pedestals","North group H: 16' W: 6'8"" D:10'10""; South group H: 17' W: 6'8"" D: 10'9½""; Each pedestal H: 20' W: 11'6"" D: 17'6""",Richard J. Schwartz,"Bronze, granite",LeBlanc Barbedienne,,Frederick William MacMonnies,Stanford White,,,,,,Y,,,,Animal: equestrian,992101.3117132187,176669.1536013037
Ralph Ellison Memorial,1946,Y,Manhattan,Riverside Park,M072,9,7,150th Street and Riverside Drive,Y,"May 1, 2003",2002,Sculpture; rectangular bronze structure with cut-out male figure; four engraved stone markers,"H: 15' W: 7'6"" D: 6"" Weight: 5,000 lbs","Maintenance endowment held by Riverside Park Fund ($50,000)",Bronze and deer isle granite,"Johnson Atelier, Mercerville, NJ",,Elizabeth Catlett,"Ken Smith, Landscape Architect",,,,Invisible Man,,Y,12/03/2002,,"$275,000 (sculpture est), $500,000 (landscape est)",Writer,998150.3747463077,241772.47385372221
José Bonifacio de Andrada e Silva,37,Y,Manhattan,Bryant Park,M008,5,3,Avenue of the Americas between West 40th and West 41st Streets,Y,"April 22, 1955",1954,Standing figure (heroic scale) with integral plinth on pedestal on base decorated with applied medallion,"Figure H: 10'3"" (includes plinth?); Figure weight: 4,000 pounds (approximate)",Bryant Park,"Figure, plinth, and medallion--bronze; Pedestal, original base, and replacement base--Barre granite (polished)","Fundição Cavina Ltda., Rio de Janeiro; Carbonic Engineering Co., 551 5th Avenue, New York, NY",,José Otavio Correia Lima,Clark and Rapuano,United States of Brazil,,,,,Y,,,,"Sculpture, Politcal Figure, Public Servant",988462.0434012264,213899.9741526395
William Cullen Bryant,189,Y,Manhattan,Bryant Park,M008,5,3,,Y,"October 24, 1911",1911,"Seated figure (over life-size) with intrgral plinth on a pedestal under an archiform canopy, with a large urn and a balustrade at either side","Figure H: 6' W: 3'6""; Canopy H: 30'",Bryant Park,"Bronze, marble",Gorham Company,,Herbert Adams,"Thomas Hastings, Carrere and Hastings",Century Association,,,,,Y,,,,"Sculpture, Writer",989019.4307378829,213772.09612755477
East Coast Memorial,1929,Y,Manhattan,Battery Park,M005,1,1,"South end of park, east of Dewey Promenade",Y,"May 23, 1963",1961,Eagle on pedestal between two ranks of four inscribed pylons (eight pylons in all; axis aligned with Statue of Liberty),"Eagle H: 18'6""; each pylon H: 19'",American Battle Monuments Commission,Eagle--bronze; pedestal--granite; pylons--Chelmsford granite,"Bedi-Rassy Art Foundry, NY",,Albino Manca,"Gehron and Seltzer; Paul Cret Harbeson, FAIA",,,,,,Y,,,,"War Memorial, World War II",979858.6836394668,195090.32049906254
